PID,elements_processed,bytes_sent,max,average,keys_found,start_time_s,start_time_ns,end_time_s,end_time_ns
21466,5000,64,32767,16036.809570,73,2615,979062850,2616,079239374
21465,5000,64,32749,16206.969727,77,2615,979143944,2616,079821893
